"Code","Description"
"Air-41-CO2-Equivalen","Process CO2"
"Air-42-CO2-Equivalen","Equivalent Methane (CH4) to CO2"
"Air-43-CO2-Equivalen","Equivalent Nitrous Oxide (NO2) to CO2"
"Air-44-CO2-Equivalen","Equivalent HFC23 to CO2"
"Air-45-CO2-Equivalen","Equivalent HFC125 to CO2"
"Air-46-CO2-Equivalen","Equivalent HFC134a to CO2"
"Air-47-CO2-Equivalen","Equivalent HFC152a to CO2"
"Air-48-CO2-Equivalen","Equivalent HFC227 to CO2"
"Air-49-CO2-Equivalen","Equivalent other HFC's to CO2"
"Air-50-CO2-Equivalen","Equivalent Perfluoromethane (CF4) to CO2"
"Air-51-CO2-Equivalen","Perfluorethane (C2F6) to CO2"
"Air-52-CO2-Equivalen","Equivalent Sulfur Hexafluoride(SF6) to CO2"
"Air-55-CO2-Equivalen","Equivalent HFC143a to CO2"
"Air-56-CO2-Equivalen","Equivalent HFC236fa to CO2"
"Air-57-CO2-Equivalen","Equivalent HFC32 to CO2"
"Air-58-CO2-Equivalen","Equivalent HFC4310mee to CO2"
"Air-59-CO2-Equivalen","Equivalent Perfluorobutane (C4F10) to CO2"
"Air-60-CO2-Equivalen","Equivalent Perfluorohexane (C6F14) to CO2"
"Air-61-CO2-Equivalen","Equivalent other PFC's to CO2"
"Air-62-CO2-Equivalen","Equivalent HFO1233zd to CO2"
"Air-63-CO2-Equivalen","Equivalent NF3 to C22"
"Air-64-CO2-Equivalen","Equivalent other non-methane VOC (NMVOC)"
"ENER-COAL","Energy Usage - Coal"
"ENER-COKE","Energy Usage - Coke"
"ENER-DEST-FOIL","Energy Usage - Distillate Fuel Oil"
"ENER-LPG","Energy Usage - LPG"
"ENER-NG","Energy Usage - Natural Gas"
"ENER-RESID-FOIL","Energy Usage - Residual Fuel Oil"
"ENER-STEAM","Energy Usage - Steam"
